SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	subject	Beta_ERC	Beta_BA35	Beta_BA36	Beta_SUB	Beta_CA1	Beta_CA2	Beta_CA3	Beta_DG	Beta_PHC	Beta_HT
1	9	12	16	20494	1259	63.7361232319381	0	1.0	913.41215398279	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.1793913043478261	-0.053015214384509	-0.1300153374233129	0.1685428571428571	-0.0261983471074379	0.7999999999999999	0.3075	-0.0919553805774278	-0.1202262443438914	0.2541097724230254
1	9	12	17	21193	255	63.73616953298915	1	1.0	542.3003309988417	0.0	192.0		1	1.0	0.0	1.0	2.0	0	subj01	0.2251400966183575	0.1376763485477178	0.1049642126789365	0.0950095238095238	0.1912258953168044	0.6086274509803921	0.32625	0.0563910761154855	0.281342383107089	-0.0991298527443105
1	9	12	18	50954	3197	63.736215821118094	0	1.0	1129.3300419929435	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.4361256038647342	0.5924481327800829	0.6040388548057259	-0.172247619047619	-0.2413774104683196	0.136078431372549	0.1204166666666666	-0.1874671916010498	0.4890648567119154	-0.1185140562248995
1	9	12	19	52510	1934	63.73626212612726	1	1.0	740.2987029927317	0.0	319.0		1	1.0	0.0	1.0	2.0	0	subj01	0.3047536231884058	0.5410096818810511	0.3611605316973415	0.0960190476190476	-0.0349999999999999	0.5719607843137254	0.5779166666666667	0.4344750656167978	1.0072699849170437	0.4520883534136546
1	9	12	20	40991	1675	63.73630840878468	1	1.0	532.7978529967368	0.0	4.0		1	1.0	0.0	1.0	2.0	0	subj01	0.2931111111111111	0.808921161825726	0.70030163599182	0.4707142857142856	0.4157851239669421	0.1311764705882353	0.7793749999999999	0.6331102362204725	0.981417797888386	0.4625301204819277
1	9	12	21	33088	3957	63.73635471053421	1	1.0	531.987681024475	0.0	31.0	131.0	1	1.0	0.0	1.0	2.0	0	subj01	0.0304734299516908	0.5184923928077455	0.5565848670756646	0.3764285714285714	0.2165289256198347	0.3158823529411765	0.4938541666666666	0.4602099737532809	1.0598491704374058	0.442289156626506
1	9	12	22	49082	2349	63.73640099738258	0	0.0	2675.1416820043232	1.0			0	0.0	1.0	1.0	2.0	0	subj01	-0.6337487922705314	0.6105809128630705	0.3954652351738241	0.1235904761904761	0.1776721763085399	0.2578431372549019	0.5422916666666666	0.3333727034120735	1.3585671191553546	-0.1596519410977242
1	9	12	23	52401	7796	63.73644728085492	0	1.0	1349.20209198026	0.0			0	1.0	1.0	0.0	1.0	0	subj01	-0.3618647342995169	0.4652835408022129	0.3178374233128834	0.2445523809523809	0.167038567493113	0.1952941176470588	-0.1258333333333333	0.1156955380577428	0.6877677224736048	0.0912048192771084
1	9	12	24	11617	3367	63.736493583070114	0	0.0	2802.569437015336	1.0			0	0.0	1.0	1.0	2.0	0	subj01	-0.3573140096618358	0.9949930843706778	1.1399539877300613	0.3474952380952382	0.5346831955922865	-0.130392156862745	0.5611458333333333	0.9267060367454067	1.0072096530920065	0.2838821954484605
1	9	12	25	29566	4609	63.73653987771832	1	1.0	630.460888001835	0.0	92.0		1	1.0	0.0	1.0	2.0	0	subj01	0.3068792270531401	0.7032780082987552	1.0381492842535789	0.2106095238095238	0.7338567493112949	-0.5107843137254902	-0.3960416666666667	0.7263123359580052	-0.0513122171945701	0.3508032128514056
1	9	12	26	50516	2037	63.73663237015717	1	0.0	1849.9274800124117	0.0	2873.0		0	1.0	1.0	0.0	1.0	0	subj01	-0.9997487922705312	-0.1808160442600276	-0.2882668711656441	0.5513809523809523	0.045426997245179	-0.0758823529411765	-0.1378125	-0.2334645669291339	0.700211161387632	-0.1455421686746987
1	9	12	27	11768	8346	63.73667866305914	1	1.0	1932.4945279804524	0.0	4435.0		0	0.0	0.0	1.0	2.0	0	subj01	-0.2525217391304348	0.3070539419087137	0.2166257668711655	0.1450285714285714	-0.2440771349862259	-0.2249019607843137	0.2745833333333333	-0.1723622047244094	0.9232277526395172	-0.3001472556894243
1	9	12	28	18791	6625	63.73672495805658	0	0.0	2003.4282039850957	0.0			0	0.0	0.0	1.0	2.0	0	subj01	-0.8186183574879228	0.676390041493776	1.0947648261758691	0.0676095238095237	0.4498484848484849	-0.1480392156862745	-0.2891666666666667	0.6276640419947507	1.1490346907993965	0.0419678714859437
1	9	12	29	35491	9351	63.73677124548704	1	1.0	618.2481920113787	0.0	198.0		1	1.0	0.0	1.0	2.0	0	subj01	0.2515169082125605	0.3062932226832641	0.4515541922290388	0.4505904761904763	0.4868870523415977	0.2723529411764705	0.3280208333333334	0.5911417322834646	0.2368325791855203	0.4297724230254351
1	9	12	30	53606	2970	63.73681754630525	1	1.0	583.9153580018319	0.0	158.0	5563.0	1	1.0	0.0	1.0	2.0	0	subj01	-0.6443864734299518	0.8159751037344398	0.1801482617586912	0.4416	0.482107438016529	-0.1599999999999999	0.2177083333333333	0.3359842519685039	0.7942232277526395	-0.0181392235609103
1	9	12	31	32896	8294	63.736863831523806	0	0.0	2773.5477710084524	1.0			0	0.0	1.0	1.0	2.0	0	subj01	-0.6492850241545894	1.207883817427386	0.6470654396728015	0.6507428571428571	0.4812534435261709	-0.5378431372549021	0.3855208333333332	1.0830708661417323	1.7721116138763198	0.4246586345381526
1	9	12	32	23550	3818	63.736910126288414	1	1.0	1048.892494989559	0.0	923.0		0	0.0	0.0	1.0	2.0	0	subj01	0.0134975845410629	1.097911479944675	0.9388036809815952	0.801657142857143	0.4598071625344352	0.0339215686274509	1.19625	0.5872965879265092	0.9331975867269986	0.5418473895582329
1	9	12	33	56878	5779	63.73695642338134	1	1.0	1103.3182499813847	0.0	40.0		1	1.0	0.0	1.0	2.0	0	subj01	0.2241449275362318	0.2824204702627939	0.8771165644171781	0.3719333333333333	0.3412947658402203	-0.2166666666666666	0.0027083333333333	0.1718503937007874	0.0816440422322775	0.181619812583668
1	9	12	34	71374	6231	63.73700272571296	1	1.0	644.633771997178	0.0	55.0		1	1.0	0.0	1.0	2.0	0	subj01	-0.3403478260869566	-0.8037067773167358	-0.5193865030674847	-0.0443333333333333	-0.3123140495867768	-0.0023529411764705	-0.1253125	0.0866404199475065	-0.4215837104072399	0.4609370816599732
1	9	12	35	53067	9436	63.73704901675228	0	0.0	1686.6800769930703	0.0			0	0.0	0.0	1.0	2.0	0	subj01	-1.0593429951690825	-1.3836652835408023	-1.2102096114519427	-0.5186761904761904	-0.5398760330578513	0.4101960784313725	-0.4253125	-0.731496062992126	-1.0196530920060332	-0.1002409638554216
1	9	12	36	60548	1874	63.73714160185773	0	1.0	833.7479949987027	0.0			0	1.0	1.0	0.0	1.0	0	subj01	0.6565217391304348	0.5093360995850622	0.5023824130879345	-0.0186380952380953	0.3573140495867768	0.9223529411764704	0.4468749999999999	0.5474015748031495	1.0453695324283558	-0.2028514056224899
1	9	12	37	24894	1943	63.73718789406121	0	1.0	1479.0916679776271	0.0			0	1.0	1.0	0.0	1.0	0	subj01	1.21831884057971	1.3304426002766252	0.5585582822085889	0.6852761904761905	0.17	0.5415686274509804	0.4836458333333334	0.789475065616798	1.5229411764705885	0.4426506024096385
