SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	subject
1	1	2	4	2814	5821	0.5104858884587883	0	1.0	667.5993730023038	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	5	17305	8842	0.5105321905575692	0	1.0	589.298911007063	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	6	3586	4135	0.5105784886982291	1	1.0	782.4112399976002	0.0	3.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	2	7	27902	4990	0.5106247788062319	0	1.0	953.6857370039795	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	8	34024	9955	0.5106710739200934	0	1.0	625.5965899981675	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	9	17669	7331	0.5107173707801848	0	1.0	734.4940010007122	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	10	7161	3470	0.5107636585598812	0	1.0	1121.447140998498	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	11	27205	9913	0.5108099551871418	0	1.0	845.5132189992582	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	12	45700	3207	0.5109025415731593	0	1.0	826.9165109959432	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	13	6125	5799	0.5109488319139927	0	1.0	845.8524779998697	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	14	45319	4068	0.5109951237682253	0	1.0	668.3497019985225	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	15	42195	2204	0.5110414295922964	0	1.0	905.0511809982708	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	16	15285	7081	0.5110877209808677	0	1.0	992.2567600006004	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	17	13759	3632	0.5111340112052857	0	1.0	716.6180499989423	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	18	45722	3444	0.5111803016625344	0	1.0	806.5594350046013	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	19	25280	2840	0.5112265953794121	0	1.0	972.8620120004051	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	20	52866	1538	0.5112728995736688	0	1.0	771.8002179972245	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	21	39790	8951	0.5113654787419363	0	1.0	792.0529129987699	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	22	7189	8009	0.5114117725752294	0	1.0	812.4986219991115	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	23	23749	5772	0.5114580728113651	0	1.0	1037.9470979969483	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	24	44086	5200	0.5115043590776622	0	1.0	732.1107099996879	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	25	27606	7984	0.5115506525617092	0	1.0	678.8123789956444	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	26	33365	9865	0.5115969561738893	0	1.0	1041.1587869966752	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	27	7265	7367	0.5116431465139611	0	1.0	1011.2447470019104	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	28	32626	436	0.5116894399980083	1	1.0	849.6588530033476	0.0	45.0		1	1.0	0.0	1.0	2.0	0	subj01
1	1	2	29	65973	3014	0.5117357409326359	0	1.0	689.7371000013663	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	30	14819	3569	0.5117820301093161	0	1.0	676.5910250032903	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	31	60124	6871	0.5118746208027005	0	1.0	907.1375659987096	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	32	42726	4263	0.5119209164986386	0	1.0	837.813318001281	0.0			0	1.0	1.0	0.0	1.0	0	subj01
1	1	2	33	50103	3694	0.5119672107975929	0	1.0	1328.9307559971348	0.0			0	1.0	1.0	0.0	1.0	0	subj01
